batsman,bowler,0,1,2,3,4,5,6,wickets,balls
Yuvraj Singh,J Suchith,0,0.75,0,0,0.25,0,0,0,4
Yuvraj Singh,Harbhajan Singh,0.457627118644068,0.389830508474576,0.101694915254237,0,0.016949152542373,0,0.016949152542373,0.016949152542373,59
KM Jadhav,SL Malinga,0.222222222222222,0.555555555555556,0.111111111111111,0,0,0,0,0.111111111111111,9
Yuvraj Singh,SL Malinga,0.40625,0.21875,0.0625,0,0.21875,0,0,0.09375,32
AD Mathews,Harbhajan Singh,0.6,0.4,0,0,0,0,0,0,5
AD Mathews,J Suchith,0.333333333333333,0.666666666666667,0,0,0,0,0,0,3
AD Mathews,HH Pandya,0.4,0.2,0,0,0,0,0.2,0.2,5
Yuvraj Singh,HH Pandya,0.583333333333333,0.166666666666667,0,0,0.166666666666667,0,0,0.083333333333333,12
Yuvraj Singh,MJ McClenaghan,0.190476190476191,0.380952380952381,0.142857142857143,0,0.142857142857143,0,0.095238095238095,0.047619047619048,21
AD Mathews,MJ McClenaghan,0.222222222222222,0.222222222222222,0.222222222222222,0,0.222222222222222,0,0,0.111111111111111,9
SS Tiwary,SL Malinga,0.304347826086957,0.478260869565217,0.086956521739131,0,0.130434782608696,0,0,0,23
